-32	0	-16	0	0	0	0	0	-16	0	0	0	0	0	0	0
0	-64	0	-48	0	0	0	0	0	-16	0	0	0	0	0	0
-80	0	-96	0	0	0	0	0	0	0	-16	0	0	0	0	0
0	-112	0	-128	0	0	0	0	0	0	0	-16	0	0	0	0
0	0	0	0	-64	0	-16	0	0	0	0	0	-48	0	0	0
0	0	0	0	0	-96	0	-48	0	0	0	0	0	-48	0	0
0	0	0	0	-80	0	-128	0	0	0	0	0	0	0	-48	0
0	0	0	0	0	-112	0	-160	0	0	0	0	0	0	0	-48
-80	0	0	0	0	0	0	0	-96	0	-16	0	0	0	0	0
0	-80	0	0	0	0	0	0	0	-128	0	-48	0	0	0	0
0	0	-80	0	0	0	0	0	-80	0	-160	0	0	0	0	0
0	0	0	-80	0	0	0	0	0	-112	0	-192	0	0	0	0
0	0	0	0	-112	0	0	0	0	0	0	0	-128	0	-16	0
0	0	0	0	0	-112	0	0	0	0	0	0	0	-160	0	-48
0	0	0	0	0	0	-112	0	0	0	0	0	-80	0	-192	0
0	0	0	0	0	0	0	-112	0	0	0	0	0	-112	0	-224
