8	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0
-24	-24	-24	-24	0	0	0	0	0	0	0	0	0	0	0	0
40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
-56	-56	-56	-56	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	8	8	8	8	0	0	0	0	0	0	0	0
0	0	0	0	-24	-24	-24	-24	0	0	0	0	0	0	0	0
0	0	0	0	40	40	40	40	0	0	0	0	0	0	0	0
0	0	0	0	-56	-56	-56	-56	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	8	8	8	8	0	0	0	0
0	0	0	0	0	0	0	0	-24	-24	-24	-24	0	0	0	0
0	0	0	0	0	0	0	0	40	40	40	40	0	0	0	0
0	0	0	0	0	0	0	0	-56	-56	-56	-56	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	8
0	0	0	0	0	0	0	0	0	0	0	0	-24	-24	-24	-24
0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40
0	0	0	0	0	0	0	0	0	0	0	0	-56	-56	-56	-56
